Genus,mean_relative_abundance,rank
Oligoflexaceae Genus,2.0369565210475456e-5,233
Lutispora,1.985510580414092e-5,234
Fimbriimonadaceae Genus,1.9198761286404594e-5,235
Xanthobacteraceae Genus,1.8273456619719615e-5,236
Burkholderia-Caballeronia-Paraburkholderia,1.8272351752730724e-5,237
Pararhodobacter,1.823622088652592e-5,238
Gemmatimonas,1.81406497587731e-5,239
Caedibacter,1.6832281801305402e-5,240
Afipia,1.665189381963136e-5,241
cvE6 Genus,1.644772892493577e-5,242
Massilia,1.6063989593426957e-5,243
Brevibacterium,1.4905136279456126e-5,244
Chloroflexaceae Genus,1.4872079710719913e-5,245
Steroidobacter,1.4537204777324939e-5,246
Staphylococcus,1.4340273995661871e-5,247
Candidatus Accumulibacter,1.4064988484189217e-5,248
Neisseriaceae Genus,1.40205782605926e-5,249
Micavibrionales Genus,1.3616440222967461e-5,250
Novispirillum,1.3345166940347636e-5,251
Thermodesulfobacteriota Genus,1.3249918716174606e-5,252
Peptostreptococcus,1.3226693983433164e-5,253
Rhodospirillaceae Genus,1.2940430310509056e-5,254
Paracaedibacteraceae Genus,1.2400137459122394e-5,255
Sporichthyaceae Genus,1.234529285309255e-5,256
Psychromonas,1.2273618568671539e-5,257
Caldilineaceae Genus,1.2104253161824582e-5,258
Weissella,1.2082256051308281e-5,259
Anaerocolumna,1.1947468287685182e-5,260
Vibrionaceae Genus,1.1736414316861276e-5,261
Panacibacter,1.1520408438858898e-5,262
Rickettsiaceae Genus,1.1499973475350148e-5,263
Tetragenococcus,1.1419579238203497e-5,264
Fundidesulfovibrio,1.1329001622934068e-5,265
Limosilactobacillus,1.1058151513389225e-5,266
Coxiella,1.082631627172521e-5,267
Marmoricola,1.0586463304802553e-5,268
Altererythrobacter,1.045974745922198e-5,269
Pseudomonadales Genus,1.0069754479994032e-5,270
Oscillospiraceae Genus,1.0065588902234297e-5,271
Brevundimonas,1.0034181729633013e-5,272
Desulfotomaculum,9.945533896737254e-6,273
