Tank.ID,Treatment,Taxon,log2_abund,percent_mortality,prevalence,rho,p_value,q_value,TaxonFacet
15,A+ T- P-,Shewanella,-7.53523525019358,6.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
16,A+ T- P+,Cetobacterium,-5.707165152281726,6.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
16,A+ T- P+,Culicoidibacter,-4.048476814909892,6.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
16,A+ T- P+,Flavobacterium,-7.878366337518425,6.7,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
16,A+ T- P+,Shewanella,-5.82824361019269,6.7,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
17,A+ T- P+,Cetobacterium,-7.503722904734111,13.3,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
17,A+ T- P+,Culicoidibacter,-7.750366003327868,13.3,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
17,A+ T- P+,Flavobacterium,-7.401385730601746,13.3,95.83333333333334,-0.613444855217685,0.0014333869739413295,0.002866773947882659,"Flavobacterium
Spearman rho = -0.61, q = 0.00287
Prevalence = 96%"
17,A+ T- P+,Shewanella,-5.35726994654512,13.3,100,-0.6178203534717341,0.0012952695877842596,0.002866773947882659,"Shewanella
Spearman rho = -0.62, q = 0.00287
Prevalence = 100%"
18,A+ T- P+,Cetobacterium,-9.673039957901352,46.7,100,-0.5040573988664573,0.012022550589105016,0.012022550589105016,"Cetobacterium
Spearman rho = -0.5, q = 0.012
Prevalence = 100%"
18,A+ T- P+,Culicoidibacter,-12.149562772671388,46.7,100,-0.5552507284388318,0.004854520507646155,0.006472694010194874,"Culicoidibacter
Spearman rho = -0.56, q = 0.00647
Prevalence = 100%"
