"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Dechloromonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.917789213324706	0	0.366792879315349	0.0123424111751537	0.0444326802305534	0.0245324872366909	0.0518686873004322	NA	"prevalence"	235	192
"Mycobacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.375653353583204	-0.511589220750174	0.329778132800614	0.0133930531255338	0.0470390158555335	0.0266067323790443	0.0532134647580887	NA	"abundance"	235	213
"SH3-11"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.646191757995375	0	0.265160751753371	0.0148104507299807	0.0507786882170768	0.0294015520091362	0.0557875602224637	NA	"prevalence"	235	115
"Paracoccaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.1607008998202	-0.511589220750174	0.232331437680797	0.0158560227476214	0.0518924380831247	0.0158560227476214	0.0365619244347126	NA	"abundance"	235	223
"Chitinilyticum"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.19107526011396	-0.511589220750174	0.254959328631083	0.0191327073737749	0.058619358762204	0.0378993542560994	0.066775052736937	NA	"abundance"	235	216
"Longivirga"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.245819794560064	-0.511589220750174	0.292721479237185	0.019103730123986	0.058619358762204	0.037842507743322	0.066775052736937	NA	"abundance"	235	134
"SH-PL14"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.624570873343601	0	0.270956466451256	0.0211632214165122	0.0634896642495366	0.0418785608923001	0.0720700815355862	NA	"prevalence"	235	139
"Acidovorax"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.517393464695113	-0.511589220750174	0.42319655862099	0.0231978918507963	0.068057558209229	0.0458576415152714	0.075410343825113	NA	"abundance"	235	75
"Acinetobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.580692558886757	-0.511589220750174	0.458455267791297	0.0236310966004267	0.068057558209229	6.39240759280254e-06	4.94759043951501e-05	NA	"abundance"	235	136
"Pseudobdellovibrionaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.614951673458541	0	0.273831670442814	0.0247213831634811	0.0698015524615938	0.0115531298977612	0.0284977204144776	NA	"prevalence"	235	150
"Aurantisolimonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.20814276102324	-0.511589220750174	0.281439552208311	0.0263581875572132	0.0729919040045904	0.0263581875572132	0.0532134647580887	NA	"abundance"	235	180
"Clostridium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.40236037624483	-0.511589220750174	0.381177040011062	0.0286517461112811	0.0778462535853674	0.0286517461112811	0.0557875602224637	NA	"abundance"	235	150
"Bosea"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.10840824253207	-0.511589220750174	0.240894683869412	0.0310318788607695	0.081435035188502	0.0310318788607695	0.0574089758924236	NA	"abundance"	235	195
"Sutterellaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.21925290099936	-0.511589220750174	0.304987405948261	0.0335362724891222	0.0832624696281654	0.00339887203631416	0.0109355013342282	NA	"abundance"	235	171
"Undibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.567409452418069	0	0.265594651635144	0.0326489586849902	0.0832624696281654	0.0642319628667662	0.103329679394363	NA	"prevalence"	235	127
"Cetobacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.950200235515262	0	0.449202314008361	0.0344038971412183	0.0839688337006005	0.067624166143933	0.106472091375554	NA	"prevalence"	235	211
"Nocardia"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.395751070462916	-0.511589220750174	0.420265033314366	0.0407321592419607	0.0975093807215429	0.00330130710753116	0.0109355013342282	NA	"abundance"	235	159
"Vampirovibrionaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.424835235851953	-0.511589220750174	0.4347342394585	0.0413060571112092	0.0975093807215429	1.11005075939903e-06	1.36906260325881e-05	NA	"abundance"	235	111
"Niveibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.28054385997115	-0.511589220750174	0.353395725514361	0.0429857587047748	0.0998378911852835	0.0429857587047748	0.0722942305489395	NA	"abundance"	235	164
"SH3-11"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.248395536199422	-0.511589220750174	0.359969473606125	0.0489426248608777	0.111868856824863	0.0294015520091362	0.0557875602224637	NA	"abundance"	235	115
"Telmatocola"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.551401174517749	0	0.29902118216382	0.0651801601199792	0.142211258443591	0.126111866966692	0.186645563110705	NA	"prevalence"	235	61
"NS9 marine group Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.610186279404452	-0.511589220750174	0.588692209694712	0.0668472208223845	0.143671638782438	2.61062573005961e-05	0.000137990217160294	NA	"abundance"	235	60
"Aquihabitans"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.120017330490755	-0.511589220750174	0.318881840098909	0.0683048654524869	0.144638812377123	0.131944176260492	0.191448412613262	NA	"abundance"	235	141
"Fuscovulum"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.35548978679622	-0.511589220750174	0.456080739868047	0.0766097250734425	0.15759714872251	0.000110520989382582	0.000511159575894443	NA	"abundance"	235	93
"Microtrichales Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.465928255138933	0	0.264834286140667	0.0785231721777626	0.159258264698561	0.150880455786667	0.210663277890818	NA	"prevalence"	235	107
"Mycobacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-0.856910672377799	0	0.490722599391382	0.0807723574143725	0.161544714828745	0.0266067323790443	0.0532134647580887	NA	"prevalence"	235	213
"Fimbriiglobus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.46004731048374	0	0.26708529266253	0.0849837984554776	0.1676392736656	0.162745350911034	0.22302140680401	NA	"prevalence"	235	100
"Microtrichales Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	0.101329649842559	-0.511589220750174	0.334508136121683	0.088353143782153	0.17193044195446	0.150880455786667	0.210663277890818	NA	"abundance"	235	107
