gene_id,TaxaID,correlation,p_value,fdr,abs_correlation,comparison_name,base_treatment,comparison_treatment
psma2a,Tundrisphaera,-0.6163472529770389,0.05894105894105894,0.06906590342173163,0.6163472529770389,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
LOC100149991,Tundrisphaera,-0.6151110344420723,0.02497502497502497,0.04816542680620351,0.6151110344420723,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ftr57,Tundrisphaera,-0.6141465539337841,0.04095904095904096,0.05892636774989716,0.6141465539337841,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dnajc16l,Acinetobacter,0.6129610003579562,0.00299700299700299,0.02289710289710289,0.6129610003579562,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
calcoco2,Tundrisphaera,-0.6116519353937325,0.04995004995004995,0.06360306360306361,0.6116519353937325,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
me2,Tundrisphaera,-0.6116329511682321,0.04895104895104895,0.06360306360306361,0.6116329511682321,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dnajc11a,Tundrisphaera,-0.611456062254439,0.00899100899100899,0.03993680737866784,0.611456062254439,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
dnm1l,Tundrisphaera,-0.6101921346610114,0.04795204795204795,0.06316442178511143,0.6101921346610114,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
tap1,Tundrisphaera,-0.6084526720980102,0.03196803196803197,0.05474034162558753,0.6084526720980102,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
psmb5,Tundrisphaera,-0.6049391454293237,0.02397602397602397,0.0477022977022977,0.6049391454293237,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
erap2,Tundrisphaera,-0.6039846594400213,0.04095904095904096,0.05892636774989716,0.6039846594400213,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
fam98a,Acinetobacter,0.6035158181268468,0.00599400599400599,0.0346925801471256,0.6035158181268468,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
ecsit,Tundrisphaera,-0.602970939182195,0.03496503496503497,0.05474034162558753,0.602970939182195,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
si:dkey-58f10.10,Tundrisphaera,-0.6013568767702028,0.01698301698301698,0.04383454383454384,0.6013568767702028,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
coa7,Tundrisphaera,-0.5993011901888365,0.02397602397602397,0.0477022977022977,0.5993011901888365,A- T- P- vs A+ T- P+,A- T- P-,A+ T- P+
